Ticket ID,Customer Name,Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Subject,Ticket Status,Ticket Priority,Ticket Channel,First Response Time,Time to Resolution,Resolution_Duration,Priority_Score,resolution_hours,Region,Latitude,Longitude,Cluster_Size,Performance_Score
1,Marisa Obrien,32,Other,GoPro Hero,22-03-2021,Technical Issue,Product setup,Pending Customer Response,Critical,Social media,01-06-2023 12:15,,-1,4,,North America,37.09,-95.71,1747,
2,Jessica Rios,42,Female,LG Smart TV,22-05-2021,Technical Issue,Peripheral compatibility,Pending Customer Response,Critical,Chat,01-06-2023 16:45,,-1,4,,Europe,54.52,15.25,1747,
3,Christopher Robbins,48,Other,Dell XPS,14-07-2020,Technical Issue,Network problem,Closed,Low,Social media,01-06-2023 11:14,01-06-2023 18:05,1052,1,6.85,Asia-Pacific,1.35,103.81,1747,7.08
4,Christina Dillon,27,Female,Microsoft Office,13-11-2020,Billing Inquiry,Account access,Closed,Low,Social media,01-06-2023 07:29,01-06-2023 01:57,930,1,5.533333333333333,Latin America,-14.23,-51.92,1634,7.64
5,Alexander Carroll,67,Female,Autodesk AutoCAD,04-02-2020,Billing Inquiry,Data loss,Closed,Low,Email,01-06-2023 00:12,01-06-2023 19:53,1213,1,19.683333333333334,Middle East,23.88,45.07,1634,1.61
6,Rebecca Fleming,53,Male,Microsoft Office,28-07-2020,Cancellation Request,Payment issue,Open,Low,Social media,,,-1,1,,Latin America,-14.23,-51.92,1695,
7,Jacqueline Wright,24,Other,Microsoft Surface,23-02-2020,Product Inquiry,Refund request,Open,Critical,Social media,,,-1,4,,Other Global,0,0,1641,
8,Denise Lee,23,Male,Philips Hue Lights,09-08-2020,Refund Request,Battery life,Open,Critical,Social media,,,-1,4,,Other Global,0,0,1752,
9,Nicolas Wilson,60,Other,Fitbit Versa Smartwatch,16-07-2020,Technical Issue,Installation support,Pending Customer Response,Low,Social media,01-06-2023 10:32,,-1,1,,Other Global,0,0,1747,
10,William Dawson,27,Male,Dyson Vacuum Cleaner,06-03-2020,Refund Request,Payment issue,Pending Customer Response,Critical,Phone,01-06-2023 09:25,,-1,4,,Other Global,0,0,1752,
