Ticket_ID,Customer_Name,Customer_Age,Customer_Gender,Product_Purchased,Date,Ticket_Type,Ticket_Subject,Ticket_Status,Priority,Channel,First_Response_Time,Time_to_Resolution,Customer_Satisfaction_Rating,Category,Resolution_Duration,Priority_Score,Cluster_Name,Cluster_ID,Country,Latitude,Longitude,SLA_Breach,Efficiency_Score
3,Christopher Robbins,48,Other,Dell XPS,2020-07-14,Technical issue,Network problem,Closed,Low,Social media,2023-06-01 11:14:38,2023-06-01 18:05:38,3.0,Other,18.09388888888889,1,Standard Service,3,Canada,56.1304,-106.3468,True,0.05526727870060486
4,Christina Dillon,27,Female,Microsoft Office,2020-11-13,Billing inquiry,Account access,Closed,Low,Social media,2023-06-01 07:29:40,2023-06-01 01:57:40,3.0,Authentication,1.961111111111111,1,Standard Service,3,UK,55.3781,-3.436,False,0.509915014164306
5,Alexander Carroll,67,Female,Autodesk AutoCAD,2020-02-04,Billing inquiry,Data loss,Closed,Low,Email,2023-06-01 00:12:42,2023-06-01 19:53:42,1.0,Other,19.895,1,Standard Service,3,India,20.5937,78.9629,True,0.05026388539834129
11,Joseph Moreno,48,Male,Nintendo Switch,2021-01-19,Cancellation request,Data loss,Closed,High,Phone,2023-06-01 17:46:49,2023-05-31 23:51:49,1.0,Other,23.86361111111111,3,High Priority Issues,2,UK,55.3781,-3.436,True,0.12571441874541667
12,Brandon Arnold,51,Male,Microsoft Xbox Controller,2021-10-24,Product inquiry,Software bug,Closed,High,Chat,2023-06-01 12:05:51,2023-06-01 09:27:51,1.0,Technical Issue,9.464166666666667,3,High Priority Issues,2,USA,37.0902,-95.7129,False,0.3169851193096768
15,Amy Hill,48,Female,Sony PlayStation,2020-02-29,Billing inquiry,Product setup,Closed,High,Chat,2023-06-01 06:22:55,2023-05-31 23:08:55,4.0,Other,23.14861111111111,3,Fast & Satisfied,1,UK,55.3781,-3.436,True,0.12959740805183897
17,Julia Salazar,63,Other,Xbox,2021-10-13,Product inquiry,Account access,Closed,Critical,Chat,2023-06-01 19:46:59,2023-06-01 15:58:59,4.0,Authentication,15.98305555555556,4,Fast & Satisfied,1,India,20.5937,78.9629,False,0.2502650376266532
20,Jeffrey Robertson,39,Female,Canon EOS,2021-03-08,Refund request,Software bug,Closed,Low,Chat,2023-06-01 00:46:04,2023-06-01 20:29:04,5.0,Technical Issue,20.48444444444445,1,Fast & Satisfied,1,USA,37.0902,-95.7129,True,0.048817530917769573
29,Christine Wang,30,Other,Fitbit Charge,2020-06-10,Technical issue,Product recommendation,Closed,Critical,Phone,2023-05-31 23:17:17,2023-06-01 06:03:17,5.0,Other,6.054722222222222,4,Fast & Satisfied,1,India,20.5937,78.9629,False,0.6606413726659632
30,Austin George,67,Male,Xbox,2020-12-26,Cancellation request,Cancellation request,Closed,Medium,Phone,2023-06-01 00:54:17,2023-06-01 18:23:17,1.0,Feature Request,18.38805555555556,2,Standard Service,3,India,20.5937,78.9629,True,0.10876625828965056
32,Robert Wilson,60,Male,GoPro Action Camera,2021-12-20,Technical issue,Product compatibility,Closed,Medium,Social media,2023-06-01 06:42:21,2023-06-01 07:16:21,3.0,Other,7.2725,2,Standard Service,3,UK,55.3781,-3.436,False,0.2750085940185631
34,Timothy Lyons,50,Male,Autodesk AutoCAD,2021-12-09,Refund request,Hardware issue,Closed,Critical,Social media,2023-06-01 02:01:23,2023-06-01 18:25:23,5.0,Technical Issue,18.42305555555556,4,Fast & Satisfied,1,Germany,51.1657,10.4515,True,0.21711924973237032
36,Joann King,24,Other,GoPro Hero,2020-10-13,Cancellation request,Product recommendation,Closed,High,Chat,2023-06-01 07:56:25,2023-06-01 00:14:25,1.0,Other,0.2402777777777778,3,High Priority Issues,2,Germany,51.1657,10.4515,False,12.485549132947975
39,Kevin Ingram,19,Male,Google Pixel,2021-09-10,Technical issue,Account access,Closed,Critical,Phone,2023-06-01 18:45:30,2023-05-31 21:53:30,3.0,Authentication,21.89166666666667,4,High Priority Issues,2,Germany,51.1657,10.4515,True,0.1827179291968024
42,Katie Mitchell,35,Male,Dell XPS,2021-06-09,Billing inquiry,Product compatibility,Closed,Critical,Chat,2023-06-01 20:25:34,2023-06-01 14:43:34,3.0,Other,14.72611111111111,4,High Priority Issues,2,USA,37.0902,-95.7129,False,0.27162636284754976
45,Donald Gibbs,34,Other,HP Pavilion,2021-09-25,Refund request,Product compatibility,Closed,Critical,Email,2023-06-01 05:58:39,2023-06-01 03:19:39,2.0,Other,3.3275,4,High Priority Issues,2,UK,55.3781,-3.436,False,1.2021036814425243
47,Cassandra Richards,50,Female,Nintendo Switch Pro Controller,2020-10-15,Refund request,Network problem,Closed,High,Phone,2023-06-01 03:43:43,2023-06-01 09:24:43,1.0,Other,9.411944444444444,3,High Priority Issues,2,UK,55.3781,-3.436,False,0.3187439128766638
48,Kristen Perry,27,Female,GoPro Hero,2020-07-29,Technical issue,Software bug,Closed,Medium,Social media,2023-06-01 07:16:45,2023-06-01 05:59:45,1.0,Technical Issue,5.995833333333334,2,Standard Service,3,Germany,51.1657,10.4515,False,0.33356497567755383
52,Tracy White,64,Male,LG Smart TV,2020-11-20,Refund request,Software bug,Closed,Medium,Chat,2023-06-01 16:21:49,2023-06-01 10:31:49,3.0,Technical Issue,10.53027777777778,2,Standard Service,3,USA,37.0902,-95.7129,False,0.1899285130180168
53,Christian Graves,54,Male,Nest Thermostat,2021-10-10,Refund request,Network problem,Closed,High,Social media,2023-06-01 01:54:49,2023-06-01 20:59:49,3.0,Other,20.99694444444444,3,High Priority Issues,2,India,20.5937,78.9629,True,0.14287793197422907
54,Casey Reed,37,Male,HP Pavilion,2021-08-16,Cancellation request,Delivery problem,Closed,Low,Chat,2023-06-01 00:39:50,2023-06-01 10:25:50,4.0,Order & Delivery,10.43055555555556,1,Fast & Satisfied,1,India,20.5937,78.9629,False,0.09587217043941407
59,Kimberly Mack,27,Male,Autodesk AutoCAD,2020-07-31,Technical issue,Product recommendation,Closed,Medium,Phone,2023-06-01 11:56:57,2023-06-01 04:45:57,5.0,Other,4.765833333333333,2,Fast & Satisfied,1,UK,55.3781,-3.436,False,0.41965378562685784
