Ticket ID,Customer Name,Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Subject,Ticket Status,Ticket Priority,Ticket Channel,First Response Time,Time to Resolution,Customer Satisfaction Rating,Country,Resolution_Duration,Priority_Score,Similarity_Score,Similarity_Level,Latitude,Longitude,Country_Encoded,Resolution_Efficiency,Efficiency_Level,Satisfaction_Level,Age_Group,Is_Resolved,Cluster_ID,Cluster_Name,cluster_names,Team,Performance_Score
1,Marisa Obrien,32,Other,GoPro Hero,2021-03-22,Technical issue,Product setup,Pending Customer Response,Critical,Social media,2023-06-01 12:15:36,2023-06-01 11:17:48,3,Germany,6,4,0.0,Low,51.1657,10.4515,1,0.7727272727272727,High Efficiency,Medium Satisfaction,Adult,0,0,Low Priority - Fast Resolution,Fast Resolution,Team A,88
2,Jessica Rios,42,Female,LG Smart TV,2021-05-22,Technical issue,Peripheral compatibility,Pending Customer Response,Critical,Chat,2023-06-01 16:45:38,2023-06-01 11:17:48,3,Canada,6,4,0.0,Low,56.1304,-106.3468,1,0.7727272727272727,High Efficiency,Medium Satisfaction,Senior,0,0,Low Priority - Fast Resolution,Fast Resolution,Team B,88
3,Christopher Robbins,48,Other,Dell XPS,2020-07-14,Technical issue,Network problem,Closed,Low,Social media,2023-06-01 11:14:38,2023-06-01 18:05:38,3,UK,6,1,0.14285845940021782,Low,,,5,0.7727272727272727,High Efficiency,Medium Satisfaction,Senior,1,3,Critical Priority - Urgent Attention,Critical Issues,Team A,88
4,Christina Dillon,27,Female,Microsoft Office,2020-11-13,Billing inquiry,Account access,Closed,Low,Social media,2023-06-01 07:29:40,2023-06-01 01:57:40,3,Canada,6,1,0.14285845940021782,Low,56.1304,-106.3468,4,0.7727272727272727,High Efficiency,Medium Satisfaction,Adult,1,3,Critical Priority - Urgent Attention,Critical Issues,Team B,88
5,Alexander Carroll,67,Female,Autodesk AutoCAD,2020-02-04,Billing inquiry,Data loss,Closed,Low,Email,2023-06-01 00:12:42,2023-06-01 19:53:42,1,Canada,19,1,0.0,Low,56.1304,-106.3468,5,0.18181818181818182,Low Efficiency,Low Satisfaction,Elder,1,1,High Priority - Slow Resolution,Medium Resolution,Team C,62
6,Rebecca Fleming,53,Male,Microsoft Office,2020-07-28,Cancellation request,Payment issue,Open,Low,Social media,2023-06-01 11:26:25,2023-06-01 11:17:48,3,India,6,1,0.14285845940021782,Low,20.5937,78.9629,1,0.7727272727272727,High Efficiency,Medium Satisfaction,Senior,0,3,Critical Priority - Urgent Attention,Critical Issues,Team C,88
7,Jacqueline Wright,24,Other,Microsoft Surface,2020-02-23,Product inquiry,Refund request,Open,Critical,Social media,2023-06-01 11:26:25,2023-06-01 11:17:48,3,UK,6,4,0.0,Low,,,5,0.7727272727272727,High Efficiency,Medium Satisfaction,Youth,0,0,Low Priority - Fast Resolution,Fast Resolution,Team A,88
8,Denise Lee,23,Male,Philips Hue Lights,2020-08-09,Refund request,Battery life,Open,Critical,Social media,2023-06-01 11:26:25,2023-06-01 11:17:48,3,UK,6,4,0.0,Low,,,4,0.7727272727272727,High Efficiency,Medium Satisfaction,Youth,0,0,Low Priority - Fast Resolution,Fast Resolution,Team D,88
9,Nicolas Wilson,60,Other,Fitbit Versa Smartwatch,2020-07-16,Technical issue,Installation support,Pending Customer Response,Low,Social media,2023-06-01 10:32:47,2023-06-01 11:17:48,3,UK,6,1,0.14285845940021782,Low,,,0,0.7727272727272727,High Efficiency,Medium Satisfaction,Senior,0,3,Critical Priority - Urgent Attention,Critical Issues,Team A,88
10,William Dawson,27,Male,Dyson Vacuum Cleaner,2020-03-06,Refund request,Payment issue,Pending Customer Response,Critical,Phone,2023-06-01 09:25:48,2023-06-01 11:17:48,3,Canada,6,4,0.0,Low,56.1304,-106.3468,4,0.7727272727272727,High Efficiency,Medium Satisfaction,Adult,0,0,Low Priority - Fast Resolution,Fast Resolution,Team D,88
