Ticket ID,Customer Name,Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Subject,Ticket Status,Ticket Priority,Ticket Channel,Customer Satisfaction Rating,First_Response_Minutes,First_Response_Date,Average_First_Response_Minutes,Priority_Avg_Response,Location,Latitude,Longitude
2,Jessica Rios,42,Female,LG Smart TV,2021-05-22,Technical issue,Peripheral compatibility,Pending Customer Response,Critical,Chat,0.0,46,2023-06-01,30,20,UK,55.3781,-3.436
5,Alexander Carroll,67,Female,Autodesk AutoCAD,2020-02-04,Billing inquiry,Data loss,Closed,Low,Email,1.0,13,2023-06-01,30,20,USA,37.0902,-95.7129
10,William Dawson,27,Male,Dyson Vacuum Cleaner,2020-03-06,Refund request,Payment issue,Pending Customer Response,Critical,Phone,0.0,26,2023-06-01,30,20,India,20.5937,78.9629
11,Joseph Moreno,48,Male,Nintendo Switch,2021-01-19,Cancellation request,Data loss,Closed,High,Phone,1.0,47,2023-06-01,30,20,India,20.5937,78.9629
12,Brandon Arnold,51,Male,Microsoft Xbox Controller,2021-10-24,Product inquiry,Software bug,Closed,High,Chat,1.0,6,2023-06-01,30,20,UK,55.3781,-3.436
13,Tamara Hahn,27,Other,Nintendo Switch Pro Controller,2021-05-26,Technical issue,Hardware issue,Pending Customer Response,Low,Chat,0.0,4,2023-06-01,30,20,UK,55.3781,-3.436
14,Sandra Barnes,65,Other,Nest Thermostat,2020-07-13,Technical issue,Product setup,Pending Customer Response,Low,Chat,0.0,35,2023-06-01,30,20,UK,55.3781,-3.436
15,Amy Hill,48,Female,Sony PlayStation,2020-02-29,Billing inquiry,Product setup,Closed,High,Chat,4.0,23,2023-06-01,30,20,UK,55.3781,-3.436
17,Julia Salazar,63,Other,Xbox,2021-10-13,Product inquiry,Account access,Closed,Critical,Chat,4.0,47,2023-06-01,30,20,UK,55.3781,-3.436
18,Joshua Castillo,56,Female,Microsoft Xbox Controller,2020-09-07,Product inquiry,Payment issue,Pending Customer Response,High,Chat,0.0,5,2023-06-01,30,20,UK,55.3781,-3.436
20,Jeffrey Robertson,39,Female,Canon EOS,2021-03-08,Refund request,Software bug,Closed,Low,Chat,5.0,46,2023-06-01,30,20,UK,55.3781,-3.436
21,Suzanne Holmes,28,Other,HP Pavilion,2021-05-31,Refund request,Payment issue,Pending Customer Response,High,Chat,0.0,8,2023-06-01,30,20,UK,55.3781,-3.436
